"address_id","address","district","postal_code"
6,"1121 Loja Avenue","California","17886"
18,"770 Bydgoszcz Avenue","California","16266"
22,"320 Brest Avenue","Kaduna","43331"
23,"1417 Lancaster Avenue","Northern Cape","72192"
33,"786 Aurora Avenue","Yamaguchi","65750"
46,"1632 Bislig Avenue","Nonthaburi","61117"
68,"1966 Amroha Avenue","Sichuan","70385"
91,"1740 Portoviejo Avenue","Sucre","29932"
93,"1926 El Alto Avenue","Buenos Aires","75543"
95,"1370 Le Mans Avenue","Brunei and Muara","52163"
96,"984 Effon-Alaiye Avenue","Gois","17119"
108,"1386 Yangor Avenue","Provence-Alpes-Cte","80720"
110,"1867 San Juan Bautista Tuxtepec Avenue","Ivanovo","78311"
115,"1378 Alvorada Avenue","Distrito Federal","75834"
116,"793 Cam Ranh Avenue","California","87057"
119,"1107 Nakhon Sawan Avenue","Mxico","75149"
132,"1050 Garden Grove Avenue","Slaskie","4999"
139,"943 Johannesburg Avenue","Maharashtra","5892"
158,"798 Cianjur Avenue","Shanxi","76990"
165,"97 Shimoga Avenue","Tel Aviv","44660"
170,"710 San Felipe del Progreso Avenue","Lilongwe","76901"
179,"431 Xiangtan Avenue","Kerala","4854"
180,"757 Rustenburg Avenue","Skikda","89668"
183,"1089 Iwatsuki Avenue","Kirov","35109"
213,"43 Dadu Avenue","Rajasthan","4855"
261,"51 Laredo Avenue","Sagaing","68146"
279,"1884 Shikarpur Avenue","Haryana","85548"
296,"1936 Cuman Avenue","Virginia","61195"
315,"543 Bergamo Avenue","Minas Gerais","59686"
328,"479 San Felipe del Progreso Avenue","Morelos","54949"
329,"867 Benin City Avenue","Henan","78543"
338,"431 Szkesfehrvr Avenue","Baki","57828"
341,"1920 Weifang Avenue","Uttar Pradesh","15643"
346,"1217 Konotop Avenue","Gelderland","504"
360,"619 Hunuco Avenue","Shimane","81508"
369,"817 Laredo Avenue","Jalisco","77449"
376,"1061 Ede Avenue","Southern Tagalog","57810"
379,"1133 Rizhao Avenue","Pernambuco","2800"
394,"753 Ilorin Avenue","Sichuan","3656"
395,"1337 Mit Ghamr Avenue","Nakhon Sawan","29810"
402,"616 Hagonoy Avenue","Krasnojarsk","46043"
419,"397 Sunnyvale Avenue","Guanajuato","55566"
425,"1866 al-Qatif Avenue","California","89420"
465,"734 Tanshui Avenue","Caquet","70664"
467,"1621 Tongliao Avenue","Irkutsk","22173"
468,"1844 Usak Avenue","Nova Scotia","84461"
490,"1909 Dayton Avenue","Guangdong","88513"
503,"1416 San Juan Bautista Tuxtepec Avenue","Zufar","50592"
504,"1 Valle de Santiago Avenue","Apulia","86208"
512,"1269 Ipoh Avenue","Eskisehir","54674"
529,"600 Purnea (Purnia) Avenue","Nghe An","18043"
556,"346 Cam Ranh Avenue","Zhejiang","39976"
563,"1059 Yuncheng Avenue","Vilna","47498"
570,"415 Pune Avenue","Shandong","44274"
575,"1052 Pathankot Avenue","Sichuan","77397"
577,"1501 Pangkal Pinang Avenue","Mazowieckie","943"
578,"1405 Hagonoy Avenue","Slaskie","86587"
596,"1759 Niznekamsk Avenue","al-Manama","39414"
598,"42 Fontana Avenue","Fejr","14684"
