"city_id","address_id","address","address2","district","postal_code","phone","last_update","city","country_id","country"
300,1,"47 MySakila Drive",NULL,"Alberta","","","2006-02-15 09:45:30","Lethbridge",20,"Canada"
576,2,"28 MySQL Boulevard",NULL,"QLD","","","2006-02-15 09:45:30","Woodridge",8,"Australia"
300,3,"23 Workhaven Lane",NULL,"Alberta","","14033335568","2006-02-15 09:45:30","Lethbridge",20,"Canada"
576,4,"1411 Lillydale Drive",NULL,"QLD","","6172235589","2006-02-15 09:45:30","Woodridge",8,"Australia"
463,5,"1913 Hanoi Way","","Nagasaki","35200","28303384290","2006-02-15 09:45:30","Sasebo",50,"Japan"
449,6,"1121 Loja Avenue","","California","17886","838635286649","2006-02-15 09:45:30","San Bernardino",103,"United States"
38,7,"692 Joliet Street","","Attika","83579","448477190408","2006-02-15 09:45:30","Athenai",39,"Greece"
349,8,"1566 Inegl Manor","","Mandalay","53561","705814003527","2006-02-15 09:45:30","Myingyan",64,"Myanmar"
361,9,"53 Idfu Parkway","","Nantou","42399","10655648674","2006-02-15 09:45:30","Nantou",92,"Taiwan"
295,10,"1795 Santiago de Compostela Way","","Texas","18743","860452626434","2006-02-15 09:45:30","Laredo",103,"United States"
280,11,"900 Santiago de Compostela Parkway","","Central Serbia","93896","716571220373","2006-02-15 09:45:30","Kragujevac",108,"Yugoslavia"
200,12,"478 Joliet Way","","Hamilton","77948","657282285970","2006-02-15 09:45:30","Hamilton",68,"New Zealand"
329,13,"613 Korolev Drive","","Masqat","45844","380657522649","2006-02-15 09:45:30","Masqat",71,"Oman"
162,14,"1531 Sal Drive","","Esfahan","53628","648856936185","2006-02-15 09:45:30","Esfahan",46,"Iran"
440,15,"1542 Tarlac Parkway","","Kanagawa","1027","635297277345","2006-02-15 09:45:30","Sagamihara",50,"Japan"
582,16,"808 Bhopal Manor","","Haryana","10672","465887807014","2006-02-15 09:45:30","Yamuna Nagar",44,"India"
384,17,"270 Amroha Parkway","","Osmaniye","29610","695479687538","2006-02-15 09:45:30","Osmaniye",97,"Turkey"
120,18,"770 Bydgoszcz Avenue","","California","16266","517338314235","2006-02-15 09:45:30","Citrus Heights",103,"United States"
76,19,"419 Iligan Lane","","Madhya Pradesh","72878","990911107354","2006-02-15 09:45:30","Bhopal",44,"India"
495,20,"360 Toulouse Parkway","","England","54308","949312333307","2006-02-15 09:45:30","Southend-on-Sea",102,"United Kingdom"
156,21,"270 Toulon Boulevard","","Kalmykia","81766","407752414682","2006-02-15 09:45:30","Elista",80,"Russian Federation"
252,22,"320 Brest Avenue","","Kaduna","43331","747791594069","2006-02-15 09:45:30","Kaduna",69,"Nigeria"
267,23,"1417 Lancaster Avenue","","Northern Cape","72192","272572357893","2006-02-15 09:45:30","Kimberley",85,"South Africa"
327,24,"1688 Okara Way","","Nothwest Border Prov","21954","144453869132","2006-02-15 09:45:30","Mardan",72,"Pakistan"
525,25,"262 A Corua (La Corua) Parkway","","Dhaka","34418","892775750063","2006-02-15 09:45:30","Tangail",12,"Bangladesh"
443,26,"28 Charlotte Amalie Street","","Rabat-Sal-Zammour-Z","37551","161968374323","2006-02-15 09:45:30","Sal",62,"Morocco"
303,27,"1780 Hino Boulevard","","Liepaja","7716","902731229323","2006-02-15 09:45:30","Liepaja",54,"Latvia"
128,28,"96 Tafuna Way","","Crdoba","99865","934730187245","2006-02-15 09:45:30","Crdoba",6,"Argentina"
472,29,"934 San Felipe de Puerto Plata Street","","Sind","99780","196495945706","2006-02-15 09:45:30","Shikarpur",72,"Pakistan"
121,30,"18 Duisburg Boulevard","","","58327","998009777982","2006-02-15 09:45:30","Citt del Vaticano",41,"Holy See (Vatican City State)"
138,31,"217 Botshabelo Place","","Southern Mindanao","49521","665356572025","2006-02-15 09:45:30","Davao",75,"Philippines"
346,32,"1425 Shikarpur Manor","","Bihar","65599","678220867005","2006-02-15 09:45:30","Munger (Monghyr)",44,"India"
474,33,"786 Aurora Avenue","","Yamaguchi","65750","18461860151","2006-02-15 09:45:30","Shimonoseki",50,"Japan"
316,34,"1668 Anpolis Street","","Taipei","50199","525255540978","2006-02-15 09:45:30","Lungtan",92,"Taiwan"
257,35,"33 Gorontalo Way","","West Bengali","30348","745994947458","2006-02-15 09:45:30","Kamarhati",44,"India"
239,36,"176 Mandaluyong Place","","Uttar Pradesh","65213","627705991774","2006-02-15 09:45:30","Jhansi",44,"India"
17,37,"127 Purnea (Purnia) Manor","","Piemonte","79388","911872220378","2006-02-15 09:45:30","Alessandria",49,"Italy"
284,38,"61 Tama Street","","Okayama","94065","708403338270","2006-02-15 09:45:30","Kurashiki",50,"Japan"
544,39,"391 Callao Drive","","Midi-Pyrnes","34021","440512153169","2006-02-15 09:45:30","Toulouse",34,"France"
